Source Table,Problem,DesignPt#,crn_across_solns,eta_1,eta_2,gamma_1,gamma_2,lambda_min,simple_solve,reuse_points,initial_solution,MacroRep#,Final Relative Optimality Gap,Area Under Progress Curve,0.05-Solve Time,0.05-Solved? (Y/N),0.1-Solve Time,0.1-Solved? (Y/N),0.2-Solve Time,0.2-Solved? (Y/N),0.5-Solve Time,0.5-Solved? (Y/N),budget,backorder_cost,demand_mean,warmup,variable_cost,fixed_cost,lead_mean,holding_cost,n_days,arc_costs,arcs,num_nodes
df_solver_results_new_sscont.jmp,SSCONT,0,True,0.425,0.65,1.625,0.9,4,True,True,"(600, 600)",0,-0.046306892,0.1334552184,0.144,1,0.144,1,0.104,1,0.072,1,1000,4,100,20,2,36,6,1,100,,,
df_solver_results_new_sscont.jmp,SSCONT,0,True,0.425,0.65,1.625,0.9,4,True,True,"(600, 600)",1,0.1059127718,0.2480724035,0.362,1,0.104,1,0.104,1,0.072,1,1000,4,100,20,2,36,6,1,100,,,
df_solver_results_new_sscont.jmp,SSCONT,0,True,0.425,0.65,1.625,0.9,4,True,True,"(600, 600)",2,0.713051772,0.2002915226,.,0,0.2,1,0.072,1,0.056,1,1000,4,100,20,2,36,6,1,100,,,
df_solver_results_new_sscont.jmp,SSCONT,0,True,0.425,0.65,1.625,0.9,4,True,True,"(600, 600)",3,0.409900061,0.3293847292,.,0,0.37,1,0.072,1,0.056,1,1000,4,100,20,2,36,6,1,100,,,
df_solver_results_new_sscont.jmp,SSCONT,0,True,0.425,0.65,1.625,0.9,4,True,True,"(600, 600)",4,0.0637737849,0.1800171039,0.18,1,0.072,1,0.072,1,0.056,1,1000,4,100,20,2,36,6,1,100,,,
df_solver_results_new_sscont.jmp,SSCONT,0,True,0.425,0.65,1.625,0.9,4,True,True,"(600, 600)",5,0.5435892069,0.3117844143,0.192,1,0.072,1,0.072,1,0.056,1,1000,4,100,20,2,36,6,1,100,,,
df_solver_results_new_sscont.jmp,SSCONT,0,True,0.425,0.65,1.625,0.9,4,True,True,"(600, 600)",6,0.0160152768,0.2255352396,0.689,1,0.574,1,0.088,1,0.088,1,1000,4,100,20,2,36,6,1,100,,,
df_solver_results_new_sscont.jmp,SSCONT,0,True,0.425,0.65,1.625,0.9,4,True,True,"(600, 600)",7,0.0516015644,0.2056465574,.,0,0.568,1,0.072,1,0.056,1,1000,4,100,20,2,36,6,1,100,,,
df_solver_results_new_sscont.jmp,SSCONT,0,True,0.425,0.65,1.625,0.9,4,True,True,"(600, 600)",8,0.2112696575,0.3711097546,0.256,1,0.212,1,0.124,1,0.056,1,1000,4,100,20,2,36,6,1,100,,,
df_solver_results_new_sscont.jmp,SSCONT,0,True,0.425,0.65,1.625,0.9,4,True,True,"(600, 600)",9,0.1026387198,0.1775473263,.,0,0.072,1,0.072,1,0.056,1,1000,4,100,20,2,36,6,1,100,,,
df_solver_results_new_sscont.jmp,SSCONT,1,True,0.45,0.725,1.125,0.3,4,True,True,"(600, 600)",0,0.5276661274,0.568343836,.,0,.,0,.,0,.,0,1000,4,100,20,2,36,6,1,100,,,
df_solver_results_new_sscont.jmp,SSCONT,1,True,0.45,0.725,1.125,0.3,4,True,True,"(600, 600)",1,0.4294823056,0.4645973143,.,0,.,0,.,0,0.072,1,1000,4,100,20,2,36,6,1,100,,,
df_solver_results_new_sscont.jmp,SSCONT,1,True,0.45,0.725,1.125,0.3,4,True,True,"(600, 600)",2,0.2416036374,0.2909395825,.,0,.,0,.,0,0.088,1,1000,4,100,20,2,36,6,1,100,,,
df_solver_results_new_sscont.jmp,SSCONT,1,True,0.45,0.725,1.125,0.3,4,True,True,"(600, 600)",3,0.3035756151,0.3510046745,.,0,.,0,.,0,0.072,1,1000,4,100,20,2,36,6,1,100,,,
df_solver_results_new_sscont.jmp,SSCONT,1,True,0.45,0.725,1.125,0.3,4,True,True,"(600, 600)",4,0.1317188136,0.1779299955,.,0,.,0,0.104,1,0.056,1,1000,4,100,20,2,36,6,1,100,,,
df_solver_results_new_sscont.jmp,SSCONT,1,True,0.45,0.725,1.125,0.3,4,True,True,"(600, 600)",5,0.0704362038,0.1233591772,.,0,0.12,1,0.088,1,0.056,1,1000,4,100,20,2,36,6,1,100,,,
df_solver_results_new_sscont.jmp,SSCONT,1,True,0.45,0.725,1.125,0.3,4,True,True,"(600, 600)",6,0.4244635001,0.4771284141,.,0,.,0,.,0,0.108,1,1000,4,100,20,2,36,6,1,100,,,
df_solver_results_new_sscont.jmp,SSCONT,1,True,0.45,0.725,1.125,0.3,4,True,True,"(600, 600)",7,0.170132137,0.2279773731,.,0,.,0,0.12,1,0.072,1,1000,4,100,20,2,36,6,1,100,,,
df_solver_results_new_sscont.jmp,SSCONT,1,True,0.45,0.725,1.125,0.3,4,True,True,"(600, 600)",8,0.2936559962,0.3432931777,.,0,.,0,.,0,0.088,1,1000,4,100,20,2,36,6,1,100,,,
df_solver_results_new_sscont.jmp,SSCONT,1,True,0.45,0.725,1.125,0.3,4,True,True,"(600, 600)",9,0.1067959759,0.1579382155,.,0,0.12,1,0.104,1,0.056,1,1000,4,100,20,2,36,6,1,100,,,
df_solver_results_new_sscont.jmp,SSCONT,2,True,0.125,0.6,1.25,0.45,4,True,True,"(600, 600)",0,0.1045177005,0.1701102941,.,0,0.12,1,0.104,1,0.056,1,1000,4,100,20,2,36,6,1,100,,,
df_solver_results_new_sscont.jmp,SSCONT,2,True,0.125,0.6,1.25,0.45,4,True,True,"(600, 600)",1,0.2727277034,0.3279336041,.,0,.,0,.,0,0.072,1,1000,4,100,20,2,36,6,1,100,,,
