Length,Width,Diameter,PercentFill,Ratio,Strength
1,-1,-1,10,1,-9
1,-1,-1,10,2,12
1,-1,-1,10,3,69
1,-1,-1,10,4,180
1,-1,-1,10,5,363
1,-1,-1,15,1,-10.25
1,-1,-1,15,2,10.75
1,-1,-1,15,3,67.75
1,-1,-1,15,4,178.75
1,-1,-1,15,5,361.75
1,-1,-1,20,1,-12
1,-1,-1,20,2,9
1,-1,-1,20,3,66
1,-1,-1,20,4,177
1,-1,-1,20,5,360
1,-1,-1,25,1,-14.25
1,-1,-1,25,2,6.75
1,-1,-1,25,3,63.75
1,-1,-1,25,4,174.75
1,-1,-1,25,5,357.75
1,1,1,10,1,17
1,1,1,10,2,38
1,1,1,10,3,95
1,1,1,10,4,206
1,1,1,10,5,389
1,1,1,15,1,15.75
1,1,1,15,2,36.75
1,1,1,15,3,93.75
1,1,1,15,4,204.75
1,1,1,15,5,387.75
1,1,1,20,1,14
1,1,1,20,2,35
1,1,1,20,3,92
1,1,1,20,4,203
1,1,1,20,5,386
1,1,1,25,1,11.75
1,1,1,25,2,32.75
1,1,1,25,3,89.75
1,1,1,25,4,200.75
1,1,1,25,5,383.75
-1,-1,1,10,1,3
-1,-1,1,10,2,24
-1,-1,1,10,3,81
-1,-1,1,10,4,192
-1,-1,1,10,5,375
-1,-1,1,15,1,1.75
-1,-1,1,15,2,22.75
-1,-1,1,15,3,79.75
-1,-1,1,15,4,190.75
-1,-1,1,15,5,373.75
-1,-1,1,20,1,0
-1,-1,1,20,2,21
-1,-1,1,20,3,78
-1,-1,1,20,4,189
-1,-1,1,20,5,372
-1,-1,1,25,1,-2.25
-1,-1,1,25,2,18.75
-1,-1,1,25,3,75.75
-1,-1,1,25,4,186.75
-1,-1,1,25,5,369.75
-1,1,-1,10,1,-3
-1,1,-1,10,2,18
-1,1,-1,10,3,75
-1,1,-1,10,4,186
-1,1,-1,10,5,369
-1,1,-1,15,1,-4.25
-1,1,-1,15,2,16.75
-1,1,-1,15,3,73.75
-1,1,-1,15,4,184.75
-1,1,-1,15,5,367.75
-1,1,-1,20,1,-6
-1,1,-1,20,2,15
-1,1,-1,20,3,72
-1,1,-1,20,4,183
-1,1,-1,20,5,366
-1,1,-1,25,1,-8.25
-1,1,-1,25,2,12.75
-1,1,-1,25,3,69.75
-1,1,-1,25,4,180.75
-1,1,-1,25,5,363.75
